"text_id","title","short_title"
"378","Abhidharmakośa","AdhKo"
"379","Abhidharmakośabhāṣya","AdhKoBha"
"449","Abhidhānacintāmaṇi","AdhCi"
"398","Abhinavacintāmaṇi","AnCi"
"415","Acintyastava","AciSt"
"11","Agastīyaratnaparīkṣā","ARP"
"388","Agnipurāṇa","APur"
"555","Aitareya-Āraṇyaka","AiAr"
"471","Aitareyabrāhmaṇa","AiBr"
"421","Aitareyopaniṣad","AiUp"
"84","Amarakośa","AKo"
"59","Amaraughaśāsana","AmOS"
"131","Amaruśataka","AmS"
"113","Amṛtabindūpaniṣat","ABUp"
"354","Arthaśāstra","AS"
"502","Atharvaprāyaścittāni","APCi"
"468","Atharvaveda (Paippalāda)","AVPai"
"464","Atharvaveda (Śaunaka)","AVSau"
"515","Atharvavedapariśiṣṭa","AVP"
"466","Avadānaśataka","AdhS"
"16","Ayurvedarasāyana","AvR"
"467","Aṣṭasāhasrikā","AstS"
"413","Aṣṭādhyāyī","AstAdhy"
"420","Aṣṭāvakragīta","AstVGi"
"14","Aṣṭāṅgahṛdayasaṃhitā","AstAHS"
"21","Aṣṭāṅganighaṇṭu","AstANi"
"275","Aṣṭāṅgasaṃgraha","AstAS"
"402","Baudhāyanadharmasūtra","BauDhSu"
"330","Baudhāyanagṛhyasūtra","BauGrSu"
"495","Baudhāyanaśrautasūtra","BauSrSu"
"251","Bhadrabāhucarita","BhC"
"42","Bhairavastava","BhaiSt"
"442","Bhallaṭaśataka","BhS"
"235","Bhramarāṣṭaka","BhrAst"
"119","Bhāgavatapurāṇa","BhPur"
"329","Bhāradvājagṛhyasūtra","BhGrSu"
"538","Bhāradvājaśrautasūtra","BhSrSut"
"446","Bhāratamañjarī","BhM"
"165","Bhāvaprakāśa","BhPr"
"120","Bodhicaryāvatāra","BCAv"
"112","Brahmabindūpaniṣat","BrBiUp"
"376","Buddhacarita","BuC"
"118","Bījanighaṇṭu","BNi"
"439","Bṛhadāraṇyakopaniṣad","BrAUp"
"405","Bṛhatkathāślokasaṃgraha","BrKSlS"
"258","Cakra (?) on Suśr","CSu"
"58","Carakasaṃhitā","CS"
"162","Carakatattvapradīpikā","CTPr"
"437","Caurapañcaśikā","CauP"
"365","Chāndogyopaniṣad","CUp"
"60","Commentary on Amaraughaśāsana","AmOSC"
"68","Commentary on the Kādambarīsvīkaraṇasūtramañjarī","KSvSuMC"
"226","Commentary on the Kāvyālaṃkāravṛtti","KAlVrC"
"392","Daśakumāracarita","DKC"
"433","Devīkālottarāgama","DAg"
"454","Devīmāhātmya","DM"
"375","Dhanurveda","DhVe"
"333","Dhanvantarinighaṇṭu","DhAntNi"
"473","Divyāvadāna","DAv"
"556","Drāhyāyaṇaśrautasūtra","DrSrSu"
"34","Ekākṣarakoṣa","EkAksKo"
"110","Garbhopaniṣat","GUp"
"411","Garuḍapurāṇa","GPur"
"393","Gautamadharmasūtra","GDhaSu"
"28","Gaṇakārikā","GKa"
"1","Gheraṇḍasaṃhitā","GhS"
"136","Gobhilagṛhyasūtra","GGrSu"
"336","Gokarṇapurāṇasāraḥ","GoPurSa"
"503","Gopathabrāhmaṇa","GoBra"
"81","Gorakṣaśataka","GoSat"
